Student_ID,Subject,Grade,Semester,Year
1001,Mathematics,78,Fall,2023
1001,Physics,82,Fall,2023
1001,Chemistry,85,Fall,2023
1001,English,88,Fall,2023
1001,Biology,79,Fall,2023
1002,Mathematics,92,Fall,2023
1002,Physics,89,Fall,2023
1002,Chemistry,91,Fall,2023
1002,English,94,Fall,2023
1002,Biology,87,Fall,2023
1003,Mathematics,45,Fall,2023
1003,Physics,52,Fall,2023
1003,Chemistry,67,Fall,2023
1003,English,72,Fall,2023
1003,Biology,58,Fall,2023
1004,Mathematics,95,Fall,2023
1004,Physics,93,Fall,2023
1004,Chemistry,97,Fall,2023
1004,English,96,Fall,2023
1004,Biology,94,Fall,2023
1005,Mathematics,38,Fall,2023
1005,Physics,41,Fall,2023
1005,Chemistry,56,Fall,2023
1005,English,62,Fall,2023
1005,Biology,45,Fall,2023
1006,Mathematics,87,Fall,2023
1006,Physics,84,Fall,2023
1006,Chemistry,89,Fall,2023
1006,English,91,Fall,2023
1006,Biology,85,Fall,2023
1007,Mathematics,65,Fall,2023
1007,Physics,71,Fall,2023
1007,Chemistry,74,Fall,2023
1007,English,78,Fall,2023
1007,Biology,69,Fall,2023
1008,Mathematics,76,Fall,2023
1008,Physics,73,Fall,2023
1008,Chemistry,79,Fall,2023
1008,English,82,Fall,2023
1008,Biology,75,Fall,2023
1009,Mathematics,83,Fall,2023
1009,Physics,86,Fall,2023
1009,Chemistry,88,Fall,2023
1009,English,91,Fall,2023
1009,Biology,81,Fall,2023
1010,Mathematics,69,Fall,2023
1010,Physics,72,Fall,2023
1010,Chemistry,76,Fall,2023
1010,English,79,Fall,2023
1010,Biology,71,Fall,2023
